,task_id,pretty_formula,band_gap,unit_cell_formula,nsites,e_above_hull,elements,volume
70738,mp-505273,NiMoO4,3.0004,"{'Ni': 4.0, 'Mo': 4.0, 'O': 16.0}",24,0,"['Mo', 'Ni', 'O']",307.400556780974
70742,mp-541162,Ba2Mg3F10,6.8917,"{'Ba': 4.0, 'Mg': 6.0, 'F': 20.0}",30,0.006237105999979,"['Ba', 'F', 'Mg']",415.584554390202
70775,mp-558523,PAuClF3,3.5308,"{'P': 4.0, 'Au': 4.0, 'Cl': 4.0, 'F': 12.0}",24,0,"['Au', 'Cl', 'F', 'P']",525.091955875815
70827,mp-6492,Ba2YSbO6,3.5379,"{'O': 6.0, 'Y': 1.0, 'Sb': 1.0, 'Ba': 2.0}",10,0,"['Ba', 'O', 'Sb', 'Y']",155.181386408286
70828,mp-6494,K2Ca(CO3)2,4.3437,"{'C': 2.0, 'O': 6.0, 'K': 2.0, 'Ca': 1.0}",11,0,"['K', 'Ca', 'C', 'O']",158.913760574365
70911,mp-760762,NbOF3,3.6441,"{'Nb': 4.0, 'O': 4.0, 'F': 12.0}",20,0,"['F', 'Nb', 'O']",296.732763035662
70938,mp-769079,ScGaO3,3.1767,"{'Sc': 6.0, 'Ga': 6.0, 'O': 18.0}",30,0.004677094833332,"['Ga', 'O', 'Sc']",335.952732322933
70978,mp-8861,Rb2MgF4,6.2289,"{'F': 4.0, 'Mg': 1.0, 'Rb': 2.0}",7,0,"['Rb', 'Mg', 'F']",119.527278176551
71036,mp-1094131,Mg7Fe(SiO4)4,3.5697,"{'Mg': 7.0, 'Fe': 1.0, 'Si': 4.0, 'O': 16.0}",28,0.000945225357149,"['Fe', 'Mg', 'O', 'Si']",302.634378268665
71056,mp-1111932,K2LiScCl6,3.7414,"{'K': 2.0, 'Li': 1.0, 'Sc': 1.0, 'Cl': 6.0}",10,0,"['Cl', 'K', 'Li', 'Sc']",259.569312034499
71095,mp-1190733,Cs4PbCl6,4.2715,"{'Cs': 8.0, 'Pb': 2.0, 'Cl': 12.0}",22,0,"['Cl', 'Cs', 'Pb']",893.88314347383
71161,mp-1221802,Mn2P2O7,3.3199,"{'Mn': 2.0, 'P': 2.0, 'O': 7.0}",11,0.000695451818183,"['Mn', 'O', 'P']",130.985231058012
71206,mp-17288,Li2ZnSiO4,3.7837,"{'Li': 8.0, 'O': 16.0, 'Si': 4.0, 'Zn': 4.0}",32,0,"['Li', 'O', 'Si', 'Zn']",348.732147481523
71220,mp-23280,AsCl3,3.9884,"{'Cl': 12.0, 'As': 4.0}",16,0,"['As', 'Cl']",582.085329050697
71265,mp-556856,BaCSNCl,4.1176,"{'Ba': 2.0, 'C': 2.0, 'S': 2.0, 'N': 2.0, 'Cl': 2.0}",10,0.009584645773996,"['Ba', 'C', 'S', 'N', 'Cl']",244.096840494878
71288,mp-6026,Na2Mg(CO3)2,4.4202,"{'C': 2.0, 'O': 6.0, 'Na': 2.0, 'Mg': 1.0}",11,0,"['C', 'Mg', 'Na', 'O']",119.874886751647
71300,mp-6574,Er2C(NO)2,4.0014,"{'C': 1.0, 'N': 2.0, 'O': 2.0, 'Er': 2.0}",7,0,"['C', 'Er', 'N', 'O']",96.2809585034417
71321,mp-7035,CaMgAsO4F,3.9326,"{'O': 8.0, 'F': 2.0, 'Mg': 2.0, 'Ca': 2.0, 'As': 2.0}",16,0,"['As', 'Ca', 'F', 'Mg', 'O']",203.638937618883
71429,mp-8000,SrSn(BO3)2,3.6159,"{'B': 2.0, 'O': 6.0, 'Sr': 1.0, 'Sn': 1.0}",10,0,"['B', 'O', 'Sn', 'Sr']",123.428265001036
71458,mp-9143,LiPF6,7.5394,"{'Li': 1.0, 'F': 6.0, 'P': 1.0}",8,0,"['F', 'Li', 'P']",93.5981056203653
71482,mp-998324,RbCaCl3,5.3304,"{'Rb': 2.0, 'Ca': 2.0, 'Cl': 6.0}",10,0,"['Ca', 'Cl', 'Rb']",314.486754724915
71546,mp-1078391,CaZn(CO3)2,3.9729,"{'Ca': 1.0, 'Zn': 1.0, 'C': 2.0, 'O': 6.0}",10,0.001316692499998,"['C', 'Ca', 'O', 'Zn']",111.63528305503
71616,mp-1113058,Cs2KErCl6,5.1104,"{'Cs': 2.0, 'K': 1.0, 'Er': 1.0, 'Cl': 6.0}",10,0,"['Cl', 'Cs', 'Er', 'K']",361.031803597556
71715,mp-1212122,InCl2,3.0152,"{'In': 8.0, 'Cl': 16.0}",24,0,"['Cl', 'In']",826.099827914503
71787,mp-12671,Er2SO2,3.0733,"{'O': 2.0, 'S': 1.0, 'Er': 2.0}",5,0,"['Er', 'O', 'S']",80.6189434930026
71790,mp-13926,Rb2NaYF6,6.4704,"{'F': 6.0, 'Na': 1.0, 'Rb': 2.0, 'Y': 1.0}",10,0,"['F', 'Na', 'Rb', 'Y']",182.922164339732
71799,mp-19047,MgMoO4,3.7851,"{'O': 16.0, 'Mg': 4.0, 'Mo': 4.0}",24,0,"['Mg', 'Mo', 'O']",336.4593904844
71800,mp-19114,Ca2NiWO6,3.3003,"{'Ca': 4.0, 'Ni': 2.0, 'W': 2.0, 'O': 12.0}",20,0,"['Ca', 'Ni', 'O', 'W']",237.914410608623
71855,mp-551203,Sr2I2O,3.4218,"{'Sr': 4.0, 'I': 4.0, 'O': 2.0}",10,0,"['I', 'O', 'Sr']",329.691906320308
71887,mp-6062,YAl3(BO3)4,5.3553,"{'B': 4.0, 'O': 12.0, 'Al': 3.0, 'Y': 1.0}",20,0,"['Al', 'B', 'O', 'Y']",185.099119823578
71909,mp-7012,KRb2YF6,6.3844,"{'F': 12.0, 'K': 2.0, 'Rb': 4.0, 'Y': 2.0}",20,0,"['F', 'K', 'Rb', 'Y']",416.167660831473
71983,mp-9066,NaLi2AsO4,3.8891,"{'Li': 4.0, 'O': 8.0, 'Na': 2.0, 'As': 2.0}",16,0,"['As', 'Li', 'Na', 'O']",193.905811223613
71993,mp-989605,Cs2RbInF6,5.376,"{'Cs': 2.0, 'Rb': 1.0, 'In': 1.0, 'F': 6.0}",10,0,"['Cs', 'Rb', 'In', 'F']",224.702007960499
72010,mp-1020715,Sr6Y2Al4O15,3.991,"{'Sr': 6.0, 'Y': 2.0, 'Al': 4.0, 'O': 15.0}",27,0.007629730401235,"['Al', 'O', 'Sr', 'Y']",400.523493518041
72037,mp-1087215,NaAsF6,4.9287,"{'Na': 1.0, 'As': 1.0, 'F': 6.0}",8,0.00183129,"['As', 'F', 'Na']",135.222661486235
72266,mp-13229,K3GdF6,4.5665,"{'F': 12.0, 'K': 6.0, 'Gd': 2.0}",20,0.003558382499995,"['F', 'Gd', 'K']",397.267570384755
72277,mp-18197,Na2BeGeO4,3.7032,"{'Be': 4.0, 'O': 16.0, 'Na': 8.0, 'Ge': 4.0}",32,0.002454043125002,"['Be', 'Ge', 'Na', 'O']",379.863657007558
72371,mp-638729,Cs2ZrCl6,3.6365,"{'Cs': 2.0, 'Zr': 1.0, 'Cl': 6.0}",9,0,"['Cs', 'Zr', 'Cl']",314.891536913786
72418,mp-755317,Y2TeO6,3.0839,"{'Y': 6.0, 'Te': 3.0, 'O': 18.0}",27,0.005866128425911,"['O', 'Te', 'Y']",383.305390737281
72435,mp-7595,GeF2,4.0002,"{'F': 8.0, 'Ge': 4.0}",12,0,"['Ge', 'F']",214.791597602822
72592,mp-1191311,Ba2MgSi2O7,4.4788,"{'Ba': 4.0, 'Mg': 2.0, 'Si': 4.0, 'O': 14.0}",24,0.004288305416669,"['Ba', 'Mg', 'O', 'Si']",371.849971414953
72643,mp-1208776,Sr2ScTaO6,3.4391,"{'Sr': 4.0, 'Sc': 2.0, 'Ta': 2.0, 'O': 12.0}",20,0,"['O', 'Sc', 'Sr', 'Ta']",268.526952460774
72706,mp-1218075,SrCaZnSi2O7,3.9789,"{'Sr': 2.0, 'Ca': 2.0, 'Zn': 2.0, 'Si': 4.0, 'O': 14.0}",24,0.0088928475,"['Ca', 'O', 'Si', 'Sr', 'Zn']",329.296660780041
72714,mp-1219617,RbAlSi3O8,4.8168,"{'Rb': 2.0, 'Al': 2.0, 'Si': 6.0, 'O': 16.0}",26,0.006010750384614,"['Al', 'O', 'Rb', 'Si']",387.485960604879
72725,mp-1222195,Mg3Fe(SiO4)2,3.4522,"{'Mg': 6.0, 'Fe': 2.0, 'Si': 4.0, 'O': 16.0}",28,0.000987978928572,"['Fe', 'Mg', 'O', 'Si']",305.607088011239
72727,mp-1222742,Li2MgSiO4,4.7392,"{'Li': 8.0, 'Mg': 4.0, 'Si': 4.0, 'O': 16.0}",32,0.001136408437501,"['Li', 'Mg', 'O', 'Si']",348.594078890303
72800,mp-15312,Ca4Al6TeO12,3.1458,"{'O': 12.0, 'Al': 6.0, 'Ca': 4.0, 'Te': 1.0}",23,0,"['Al', 'Ca', 'O', 'Te']",393.825575417467
72811,mp-17245,Na3TaF8,4.8575,"{'F': 16.0, 'Na': 6.0, 'Ta': 2.0}",24,0,"['F', 'Na', 'Ta']",311.244722216143
72815,mp-19147,NiCO3,3.3914,"{'C': 2.0, 'O': 6.0, 'Ni': 2.0}",10,0,"['Ni', 'C', 'O']",93.1058894297356
72966,mp-8058,YAsO4,3.6599,"{'O': 8.0, 'As': 2.0, 'Y': 2.0}",12,0,"['As', 'O', 'Y']",163.797701989041
73055,mp-1111108,K2NaAsF6,4.5049,"{'K': 2.0, 'Na': 1.0, 'As': 1.0, 'F': 6.0}",10,0,"['As', 'F', 'K', 'Na']",163.055358555893
73126,mp-1206440,Cs2LiCrF6,4.1173,"{'Cs': 2.0, 'Li': 1.0, 'Cr': 1.0, 'F': 6.0}",10,0,"['Cr', 'Cs', 'F', 'Li']",180.28784221899
73150,mp-1221000,NaTaWO6,3.2385,"{'Na': 2.0, 'Ta': 2.0, 'W': 2.0, 'O': 12.0}",18,0.001668879444445,"['Na', 'O', 'Ta', 'W']",287.188336215073
73185,mp-13356,Ba2SrTeO6,3.1297,"{'Ba': 2.0, 'Sr': 1.0, 'Te': 1.0, 'O': 6.0}",10,0,"['Ba', 'O', 'Sr', 'Te']",165.072538129157
73243,mp-30972,Na2Sb4O7,3.0549,"{'O': 14.0, 'Na': 4.0, 'Sb': 8.0}",26,0,"['Na', 'O', 'Sb']",498.398059725537
73268,mp-504723,Ba2NiWO6,3.3435,"{'O': 6.0, 'Ni': 1.0, 'Ba': 2.0, 'W': 1.0}",10,0,"['Ba', 'Ni', 'W', 'O']",138.010441330795
73288,mp-542831,Gd2SiO5,3.0204,"{'Gd': 8.0, 'Si': 4.0, 'O': 20.0}",32,0,"['Gd', 'O', 'Si']",424.898976989268
73293,mp-554072,K2CO3,3.6203,"{'K': 4.0, 'C': 2.0, 'O': 6.0}",12,0.002325085833336,"['C', 'K', 'O']",200.800884876171
73297,mp-554451,BaFeF4,3.3577,"{'Ba': 2.0, 'Fe': 2.0, 'F': 8.0}",12,0.003185428333333,"['Ba', 'Fe', 'F']",193.16161198717
73350,mp-6204,Cs2NaScF6,6.7991,"{'F': 6.0, 'Na': 1.0, 'Sc': 1.0, 'Cs': 2.0}",10,0,"['Cs', 'Na', 'Sc', 'F']",181.122874282962
73373,mp-6568,BaCa(CO3)2,4.687,"{'C': 4.0, 'O': 12.0, 'Ca': 2.0, 'Ba': 2.0}",20,0.005861463,"['Ba', 'C', 'Ca', 'O']",279.257919137882
73400,mp-6952,RbYbF3,6.5227,"{'F': 3.0, 'Rb': 1.0, 'Yb': 1.0}",5,0,"['Rb', 'Yb', 'F']",88.0431804012469
73454,mp-768144,Na2SbPCO7,3.8758,"{'Na': 4.0, 'Sb': 2.0, 'P': 2.0, 'C': 2.0, 'O': 14.0}",24,0,"['C', 'Na', 'O', 'P', 'Sb']",350.074959023091
73551,mp-1111963,Cs2RbScF6,6.5419,"{'Cs': 2.0, 'Rb': 1.0, 'Sc': 1.0, 'F': 6.0}",10,0,"['Cs', 'F', 'Rb', 'Sc']",215.635561790687
73611,mp-1205803,Ba2ErTaO6,3.3886,"{'Ba': 2.0, 'Er': 1.0, 'Ta': 1.0, 'O': 6.0}",10,0,"['Ba', 'Er', 'O', 'Ta']",153.531611972784
73692,mp-1228581,Ba4Na2W2O11,3.6377,"{'Ba': 4.0, 'Na': 2.0, 'W': 2.0, 'O': 11.0}",19,0,"['Ba', 'Na', 'O', 'W']",314.197083651273
73726,mp-17541,KSrVO4,3.8592,"{'O': 16.0, 'K': 4.0, 'V': 4.0, 'Sr': 4.0}",28,0.002521371785713,"['K', 'O', 'Sr', 'V']",455.479688926974
73736,mp-22909,ZnCl2,4.0499,"{'Cl': 4.0, 'Zn': 2.0}",6,0,"['Zn', 'Cl']",164.305908964364
73766,mp-541619,Na2TeO3,3.2684,"{'Te': 4.0, 'Na': 8.0, 'O': 12.0}",24,0,"['Na', 'O', 'Te']",363.135934216856
73796,mp-5811,CsPbF3,3.0475,"{'F': 3.0, 'Cs': 1.0, 'Pb': 1.0}",5,0.004570760999999,"['Cs', 'F', 'Pb']",117.828050731679
73807,mp-6397,Na2Ca(SO4)2,5.4815,"{'O': 16.0, 'Na': 4.0, 'S': 4.0, 'Ca': 2.0}",26,0,"['Ca', 'Na', 'O', 'S']",345.385966068607
73836,mp-7297,Cs2SnF6,5.3375,"{'F': 6.0, 'Sn': 1.0, 'Cs': 2.0}",9,0,"['Cs', 'F', 'Sn']",186.243651343086
73849,mp-754665,Pb(BrO3)2,3.5885,"{'Pb': 2.0, 'Br': 4.0, 'O': 12.0}",18,0,"['Br', 'O', 'Pb']",312.912103631597
